created_at,favorite_count,full_text,quote_count,reply_count,retweet_count,hashtags,cleaned_text
Sun Aug 31 14:43:43 +0000 2025,5677,Menyikapi pernyataan Prabowo bersama dengan pimpinan lembaga negara dan partai politik: Kami Koalisi Masyarakat Sipil Indonesia menyatakan 1. Prabowo gagal paham merespons dinamika sosial politik dan ekonomi yang menimbulkan kemarahan publik akhir-akhir ini melalui demonstrasi https://t.co/4kHfF7D5CM,54,87,3660,[],menyikapi pernyataan prabowo bersama dengan pimpinan lembaga negara dan partai politik kami koalisi masyarakat sipil indonesia menyatakan  prabowo gagal paham merespons dinamika sosial politik dan ekonomi yang menimbulkan kemarahan publik akhirakhir ini melalui demonstrasi
Sun Aug 31 10:11:46 +0000 2025,7435,Saudara-saudari sebangsa dan setanah air Negara menghormati kebebasan penyampaian pendapat dan aspirasi murni dari masyarakat. Terhadap petugas yang melakukan kesalahan Polri telah melakukan pemeriksaan dengan cepat transparan dan terbuka kepada publik. Para pimpinan DPR https://t.co/TUEHIsn6RM,4037,4287,1575,[],saudarasaudari sebangsa dan setanah air negara menghormati kebebasan penyampaian pendapat dan aspirasi murni dari masyarakat terhadap petugas yang melakukan kesalahan polri telah melakukan pemeriksaan dengan cepat transparan dan terbuka kepada publik para pimpinan dpr
Fri Aug 29 06:27:34 +0000 2025,14161,Ringkasan Pernyataan Presiden: 1. Menuduh demonstrasi kemarin mengarah ke arah tindakan anarkis. Siapa yang melakukan kekerasan dan pembunuhan? Demonstran lagi mundur ditabrak dan dilindas 600 ditangkap! 2. Presiden tidak mengucapkan maaf dan bertanggungjawab atas pembunuhan https://t.co/p5EdTuhxkM,2003,709,14116,[],ringkasan pernyataan presiden  menuduh demonstrasi kemarin mengarah ke arah tindakan anarkis siapa yang melakukan kekerasan dan pembunuhan demonstran lagi mundur ditabrak dan dilindas  ditangkap  presiden tidak mengucapkan maaf dan bertanggungjawab atas pembunuhan
Sat Aug 30 10:34:24 +0000 2025,4806,Musuh kita bukan fasilitas umum. Bukan perbedaan suku ras dan agama Musuh kita kekuasaan yang arogan dan menindas rakyatnya sendiri Jangan berlarut di konflik menyalahkan sesama rakyat. Salahkan negara kenapa mereka ngga hadir ketika rakyat protes? Salahkan media kenapa https://t.co/wKOgpNgQvy,34,65,1939,[],musuh kita bukan fasilitas umum bukan perbedaan suku ras dan agama musuh kita kekuasaan yang arogan dan menindas rakyatnya sendiri jangan berlarut di konflik menyalahkan sesama rakyat salahkan negara kenapa mereka ngga hadir ketika rakyat protes salahkan media kenapa
Sat Aug 30 06:44:02 +0000 2025,306,R E Q U I E M ● Brutalitas aparat bukan saja problem struktural tapi juga kanker kultural . ___________ Di republik ini ada entitas yg suka banget ngaku bhw politiknya adalah politik negara terdengar mulia di telinga warga yg tak bisa membaca . Kendati sesungguhnya https://t.co/jNZmlEbOeM,1,30,93,[],requiem  brutalitas aparat bukan saja problem struktural tapi juga kanker kultural   di republik ini ada entitas yg suka banget ngaku bhw politiknya adalah politik negara terdengar mulia di telinga warga yg tak bisa membaca  kendati sesungguhnya
Fri Aug 29 00:28:37 +0000 2025,195,Saudara-saudara. Hari ini darah rakyat tumpah. Hari ini aparat pun gugur. Padahal mereka sama-sama anak bangsa sama-sama punya keluarga yang menunggu di rumah. Ada ibu yang menangis kehilangan anaknya di jalanan. Ada istri polisi yang meraung karena suaminya tak kembali https://t.co/t6N2rOCZWx,3,17,39,[],saudarasaudara hari ini darah rakyat tumpah hari ini aparat pun gugur padahal mereka samasama anak bangsa samasama punya keluarga yang menunggu di rumah ada ibu yang menangis kehilangan anaknya di jalanan ada istri polisi yang meraung karena suaminya tak kembali
Sun Aug 31 05:49:46 +0000 2025,3368,@tanyakanrl emang gak semua polisi jahat gak semua rakyat baik ya obviously. that s literally the most basic moral understanding in life. semua orang udah tahu itu sejak bisa mikir. tapi masalahnya bukan soal semua masalahnya siapa yang salah dan siapa yang nyalahgunain kuasa saat ini. ,2,3,390,[],emang gak semua polisi jahat gak semua rakyat baik ya obviously that s literally the most basic moral understanding in life semua orang udah tahu itu sejak bisa mikir tapi masalahnya bukan soal semua masalahnya siapa yang salah dan siapa yang nyalahgunain kuasa saat ini
Sun Aug 31 09:22:02 +0000 2025,3971,Keterangan Pers Presiden Prabowo. 31 Agustus 2025. 1.Polri telah melakukan proses pemeriksaan terhadap petugas yang kemarin melakukan kesalahan atau pelanggaran. 2.Ketua partai politik telah mengambil sikap tegas bahwa anggota DPR dari masing-masing partai yang memberikan https://t.co/stnDFk7v12,1084,158,2498,[],keterangan pers presiden prabowo  agustus  polri telah melakukan proses pemeriksaan terhadap petugas yang kemarin melakukan kesalahan atau pelanggaran ketua partai politik telah mengambil sikap tegas bahwa anggota dpr dari masingmasing partai yang memberikan
Sun Aug 31 07:47:46 +0000 2025,631,️ Pakar Politik: Kejahatan Korupsi Picu Demo Kemarahan Rakyat VIDEO FULL: https://t.co/lDgP6ie7XP Amuk masa penjarahan dan anarkisme yang terjadi dalam sepekan ini tidak lepas akibat tumpukan kejahatan korupsi yang terjadi secara brutal di era kekuasaan rezim Joko Widodo. https://t.co/zbUzoI1wjD,5,16,317,[], pakar politik kejahatan korupsi picu demo kemarahan rakyat video full amuk masa penjarahan dan anarkisme yang terjadi dalam sepekan ini tidak lepas akibat tumpukan kejahatan korupsi yang terjadi secara brutal di era kekuasaan rezim joko widodo
Fri Aug 29 00:38:08 +0000 2025,816,GANTI KAPOLRI YANG GAGAL AMANKAN DEMONSTRASI Jangan sakiti rakyat. Jangan pongah di depan rakyat. Jangan arogan pada Rakyat. Rakyat itu tiap saat perhatian dan mengawasi perilaku pemegang kekuasaan. Sekali salah bertindak tindakan itu akan nyebar dan jadi bahan perbincangan. https://t.co/Ua5foWmnJV,11,33,293,[],ganti kapolri yang gagal amankan demonstrasi jangan sakiti rakyat jangan pongah di depan rakyat jangan arogan pada rakyat rakyat itu tiap saat perhatian dan mengawasi perilaku pemegang kekuasaan sekali salah bertindak tindakan itu akan nyebar dan jadi bahan perbincangan
